cg/cg_aarch64_aligned.out  :
section                                        size        addr
.text                                         42240     5242880
.rodata                                       16093     6291456
.rodata.cst8                                    128     6307552
.rodata.___src_stdio_vfprintf_c_xdigits          16     6307680
.rodata.___src_errno_strerror_c_errid            89     6307696
.eh_frame                                       720     6307792
.data                                          4360     7340032
.bss                                      192908352     8388608
.tdata                                         4096   202375168
.tbss                                          4096   203423744
.got                                             64   203427840
.got.plt                                         24   203427904
.comment                                        225           0
.debug_str                                     6652           0
.debug_loc                                    69763           0
.debug_abbrev                                 14269           0
.debug_info                                   55768           0
.debug_ranges                                  5200           0
.debug_macinfo                                   66           0
.debug_frame                                   4520           0
.debug_line                                   25776           0
.debug_aranges                                   48           0
.note.gnu.gold-version                           28           0
Total                                     193162593


